# Captured from a real PTZ-630 with wacomdri-probe.
# ExpressKey presses and a full sweep of the left Touch Strip.
# One report per line, hex, Linux layout (report ID first).
0c 00 10 00 00 00 00 00 00 00
0c 00 08 00 00 00 00 00 00 00
0c 00 00 00 00 00 00 00 00 00
0c 00 01 00 00 00 00 00 00 00
0c 00 00 00 00 00 00 00 00 00
0c 00 01 00 00 00 00 00 00 00
0c 00 02 00 00 00 00 00 00 00
0c 00 04 00 00 00 00 00 00 00
0c 00 08 00 00 00 00 00 00 00
0c 00 10 00 00 00 00 00 00 00
0c 00 20 00 00 00 00 00 00 00
0c 00 40 00 00 00 00 00 00 00
0c 00 80 00 00 00 00 00 00 00
0c 01 00 00 00 00 00 00 00 00
0c 02 00 00 00 00 00 00 00 00
0c 04 00 00 00 00 00 00 00 00
0c 08 00 00 00 00 00 00 00 00
0c 00 80 00 00 00 00 00 00 00
0c 00 00 00 00 00 00 00 00 00
0c 00 00 00 00 02 00 00 00 00
0c 00 00 00 00 08 00 00 00 00
0c 00 00 00 00 00 00 00 00 00
0c 00 00 00 00 08 00 00 00 00
0c 00 00 00 00 00 00 00 00 00
0c 00 00 00 00 04 00 00 00 00
0c 00 00 00 00 00 00 00 00 00
0c 00 00 00 00 01 00 00 00 00
0c 00 00 00 00 00 00 00 00 00
