# Captured from a real PTZ-630 with wacomdri-probe.
# Curated from fixtures/raw.txt: every proximity transition, a
# stratified sample across the pressure range, and barrel-button packets.
# One report per line, hex, Linux layout (report ID first).
02 c2 82 31 54 00 02 a0 00 00
02 80 00 00 00 00 00 00 00 00
02 c2 82 b1 54 00 02 a0 00 00
02 e0 14 42 17 ad 00 25 e9 b9
02 e0 14 7c 17 b2 00 25 68 b5
02 e0 14 c6 17 b3 00 24 e8 b3
02 e0 14 e4 17 cc 00 24 68 b1
02 e0 14 e5 18 2f 00 24 66 b2
02 e0 14 d1 18 c9 00 23 e4 af
02 e0 10 5e 16 8e 1b 63 c3 30
02 e0 11 57 16 ee 10 a4 43 2e
02 e0 1d 6c 1e a9 11 a8 4e 2f
02 e0 20 17 22 19 12 66 41 37
02 e0 19 2b 20 ba 1a 67 4d 31
02 e0 1b 34 1f b2 15 e6 cb 2d
02 e0 12 36 1f 53 20 2b cc 2e
02 e0 18 5d 1b b5 2a a8 52 24
02 e0 21 4c 1b 3c 26 db d4 28
02 e0 12 0b 20 90 22 9c bf 36
02 e0 0f a7 1f e8 25 2d 47 2f
02 e0 13 7f 23 27 2a aa b4 37
02 e0 16 98 18 d5 3d 64 c8 2e
02 e0 1c 0c 22 63 3b ea 4a 34
02 e0 0f 1d 22 99 39 2c 4c 33
02 e0 18 38 16 bd 37 ed 54 2e
02 e0 16 df 1c 4c 34 a9 cc 25
02 e0 11 46 0f 5b 3e 60 53 2d
02 e0 12 a8 1f 1b 47 2a cc 28
02 e0 11 a8 17 2f 42 63 c4 32
02 e0 31 13 22 96 40 a8 bf 35
02 e0 24 fa 17 91 48 18 d4 2b
02 e0 0f 9f 20 04 46 ed 47 2e
02 e0 18 42 16 ae 4a ac d3 2f
02 e0 12 9e 1f 2c 59 aa cc 2f
02 e0 17 31 19 2b 54 e5 c7 33
02 e0 2a 97 24 98 5b e8 41 34
02 e0 2b 49 25 11 5d 28 41 36
02 e0 14 4c 1b b9 56 aa 50 27
02 e0 14 3f 1b b8 5e aa d0 24
02 e0 11 e2 1f 84 6c 6b cc 2c
02 e0 12 9d 1f 35 69 6a cc 2e
02 e0 15 4a 1d 8a 6d 6a 4d 34
02 e0 19 17 1a 06 6d a6 52 2a
02 e0 18 dc 1a e2 64 e7 51 2b
02 e0 19 06 1b 25 68 27 d1 2a
02 e0 12 30 17 d9 78 63 c5 33
02 e0 29 5a 23 95 78 e8 c0 34
02 e0 2a 4c 1e c1 78 6b ca 37
02 e0 16 ae 21 c6 7e 2c 4d 33
02 e0 24 1b 1f 8f 7f 28 48 30
02 e0 21 05 1a 9e 7c a0 4e 2a
02 e0 11 86 1f c1 8f 6c 4c 2e
02 e0 12 a2 1f 34 81 6a cc 2d
02 e0 22 f3 1b dd 8f 66 d0 29
02 e0 20 e3 1a 9d 88 a6 d0 28
02 e0 16 75 18 bb 8c e4 48 32
02 e0 12 62 18 3d 83 a3 c5 32
02 e0 12 ab 1f 31 9a aa cd 2c
02 e0 14 db 1d d2 99 2a 4d 32
02 e0 18 e6 1a df 9e 67 d1 29
02 e0 19 48 1b 50 97 a7 d3 20
02 e0 19 2f 1b 43 9f 27 d2 26
02 e0 19 14 1b 34 9f 28 51 27
02 e0 11 2b 20 05 a7 ac 4c 2c
02 e0 12 b5 1f 2a a7 6a cd 2d
02 e0 12 d2 1f 1b ad ea cd 33
02 e0 14 6e 1e 12 ab ea cd 2e
02 e0 22 58 1a f8 ae e9 52 2a
02 e0 19 34 19 e9 ab 26 52 2a
02 e0 10 e4 1f c8 b6 b0 d2 29
02 e0 10 b3 1f e9 b7 6f d2 2f
02 e0 10 8f 20 0e b8 2e d0 2c
02 e0 10 6c 20 2f bb 6d ce 2d
02 e0 10 cc 20 50 bc 6c 4c 30
02 e0 13 02 1e fc b0 ea cc 31
02 e0 10 4d 20 48 ca ed 4d 2f
02 e0 11 6e 1e ed cf 2c 4b 2c
02 e0 11 c1 1e b5 cd 6b cb 2f
02 e0 12 0e 1e 87 ca ab cb 33
02 e0 12 49 1e 6a c9 6b cb 2c
02 e0 12 66 1e 6b c8 eb 4b 2c
02 e0 10 29 20 59 d4 2c 4d 2e
02 e0 10 0e 20 6b d7 6c 4c 2f
02 e0 0f fc 20 73 d8 2b cc 2c
02 e0 0f f5 20 75 d9 2b cc 2d
02 e0 0f fa 20 75 d8 6b cb 2f
02 e0 10 00 20 6b d5 eb cb 32
02 e0 11 43 1f c6 e0 2a cc 2e
02 e0 10 d9 20 23 e0 ea cc 2c
02 e0 10 84 20 6e e1 eb 4c 2f
02 e0 10 54 20 a3 e1 ab 4c 2e
02 e0 10 49 20 b1 e1 2b 4c 2f
02 e0 11 0f 1f 39 e3 a9 ce 2f
02 e0 14 d8 1e 3a f0 a9 cd 2c
02 e0 15 90 1e 07 f1 a9 cd 2e
02 e0 16 2e 1d de f1 a9 4d 2f
02 e0 16 c0 1d c7 f2 29 4d 30
02 e0 17 4e 1d b7 f2 69 4d 2d
02 e0 17 e2 1d a7 f2 69 4e 31
02 e2 0f eb 1e 71 ff e6 46 2b
02 e2 0e 52 1f 6e ff e6 c5 2a
02 e2 0d 30 20 40 ff e6 c4 26
02 e2 0c 80 20 ce ff e7 c3 25
02 e2 0c 53 21 05 ff e8 c2 27
02 e2 0c 67 21 01 ff e9 41 25
